"State name","Sample order link 1","Sample order link 2"
"Tamil Nadu","https://sisypheans.s3-ap-south-1.amazonaws.com/6096dbe536c867303373978feb2d0ead","https://sisypheans.s3-ap-south-1.amazonaws.com/1caa1c38dfc3522834819566590b6487"
"Uttar Pradesh","https://sisypheans.s3-ap-south-1.amazonaws.com/e25de6e5215d0f3f661834a549761654","https://sisypheans.s3-ap-south-1.amazonaws.com/6f75acded90edf3b0e23ddd598e49954"
"Karnataka","https://sisypheans.s3-ap-south-1.amazonaws.com/0ae5de42dfa5713aebd96d0356128ec2","https://sisypheans.s3-ap-south-1.amazonaws.com/7d59d0579fa53ca29273c22ba22172d7"
"Maharashtra","https://sisypheans.s3-ap-south-1.amazonaws.com/7d2285b1ceb22525fef2aa98ccf6c1df","https://sisypheans.s3-ap-south-1.amazonaws.com/d734a02bdbf1c5eebc49168f428613ac"
"Rajasthan","https://sisypheans.s3-ap-south-1.amazonaws.com/93f4b4016e1cd7a0c69ea91034c15d99","https://sisypheans.s3-ap-south-1.amazonaws.com/06bbe17da1e360ec75770ea26fafd5b7"
"Chhattisgarh","https://fullhtml2.s3.us-west-2.amazonaws.com/c4389177ac6c31629ed0b77b419dab6d","https://fullhtml2.s3.us-west-2.amazonaws.com/74c97218deb051870e02407ded6ea9eb"
"Madhya Pradesh","https://sisypheans.s3-ap-south-1.amazonaws.com/357ef90f9086e30c465afecc02607645","https://sisypheans.s3-ap-south-1.amazonaws.com/08a40911359c1b7e706b7dd8dae9d537"
"Puducherry","https://sisypheans.s3-ap-south-1.amazonaws.com/f964e86f7885b59535b79367cfdd011e","https://sisypheans.s3-ap-south-1.amazonaws.com/2a436df855b0f6087c2a3680f1e1aff3"
"Bihar","https://sisypheans.s3-ap-south-1.amazonaws.com/7d5e0cab151ab84687f2cf14df1fa638","https://sisypheans.s3-ap-south-1.amazonaws.com/a108c6b0824fa36dc1c9c88f83de3ddd"
"Haryana","https://sisypheans.s3-ap-south-1.amazonaws.com/b22fc2365e2af553608887ff0814c420","https://sisypheans.s3-ap-south-1.amazonaws.com/23fd69bb694794f88655bad659e256de"
"Punjab","https://sisypheans.s3-ap-south-1.amazonaws.com/913c191bc01e850b1aea6e0f9c79f1e5","https://fullhtml2.s3.us-west-2.amazonaws.com/018400bbe02ee2a3a424447c1c4fea35"
"Andhra Pradesh","https://sisypheans.s3-ap-south-1.amazonaws.com/68d1e246f83a99aeff1f5ce089e48422","https://sisypheans.s3-ap-south-1.amazonaws.com/c0dfdb1a48a2bbfa1e64124e63351538"
"Orissa","https://fullhtml2.s3.us-west-2.amazonaws.com/fcde479245e6105f94ebf5331f2ea117","https://fullhtml2.s3.us-west-2.amazonaws.com/5f2e7937a0a762723a3874b30695483b"
"Kerala","https://sisypheans.s3-ap-south-1.amazonaws.com/406718601d5cae5949fd35236b663458","https://sisypheans.s3-ap-south-1.amazonaws.com/d7a61be3f181a0c5ddddf6a9ca49e3a3"
"Gujarat","https://sisypheans.s3-ap-south-1.amazonaws.com/a13e344c696b99c1f1f485eff9f3a9bb","https://sisypheans.s3-ap-south-1.amazonaws.com/f155a0450a587af65a49fe5a04bbe490"
"","",""
"","",""
"","",""
"","",""
"","",""
